5.83,	39.9,	161.,	648.,	4050.,	16200.,	64800.,	405000.,	1620000.
2.57,	8.53,	18.5,	38.5,	98.5,	199.,	399.,	999.,	2000.
2.02,	5.54,	10.1,	17.4,	34.1,	55.6,	89.6,	167.,	267.
1.81,	4.54,	7.71,	12.2,	21.2,	31.3,	45.7,	74.1,	106.
1.69,	4.06,	6.61,	10.0,	16.3,	22.8,	31.4,	47.2,	63.6
1.62,	3.78,	5.99,	8.81,	13.7,	18.6,	24.8,	35.5,	46.1
1.57,	3.59,	5.59,	8.07,	12.2,	16.2,	21.1,	29.2,	37.0
1.54,	3.46,	5.32,	7.57,	11.3,	14.7,	18.8,	25.4,	31.6
1.51,	3.36,	5.12,	7.21,	10.6,	13.6,	17.2,	22.9,	28.0
1.49,	3.29,	4.96,	6.94,	10.0,	12.8,	16.0,	21.0,	25.5
1.47,	3.23,	4.84,	6.72,	9.65,	12.2,	15.2,	19.7,	23.7
1.46,	3.18,	4.75,	6.55,	9.33,	11.8,	14.5,	18.6,	22.2
1.45,	3.14,	4.67,	6.41,	9.07,	11.4,	13.9,	17.8,	21.1
1.44,	3.10,	4.60,	6.30,	8.86,	11.1,	13.5,	17.1,	20.2
1.43,	3.07,	4.54,	6.20,	8.68,	10.8,	13.1,	16.6,	19.5
1.42,	3.05,	4.49,	6.12,	8.53,	10.6,	12.8,	16.1,	18.9
1.42,	3.03,	4.45,	6.04,	8.40,	10.4,	12.6,	15.7,	18.4
1.41,	3.01,	4.41,	5.98,	8.29,	10.2,	12.3,	15.4,	17.9
1.41,	2.99,	4.38,	5.92,	8.18,	10.1,	12.1,	15.1,	17.5
1.40,	2.97,	4.35,	5.87,	8.10,	9.94,	11.9,	14.8,	17.2
1.40,	2.96,	4.32,	5.83,	8.02,	9.83,	11.8,	14.6,	16.9
1.40,	2.95,	4.30,	5.79,	7.95,	9.73,	11.6,	14.4,	16.6
1.39,	2.94,	4.28,	5.75,	7.88,	9.63,	11.5,	14.2,	16.4
1.39,	2.93,	4.26,	5.72,	7.82,	9.55,	11.4,	14.0,	16.2
1.39,	2.92,	4.24,	5.69,	7.77,	9.48,	11.3,	13.9,	16.0
1.38,	2.91,	4.23,	5.66,	7.72,	9.41,	11.2,	13.7,	15.8
1.38,	2.90,	4.21,	5.63,	7.68,	9.34,	11.1,	13.6,	15.6
1.38,	2.89,	4.20,	5.61,	7.64,	9.28,	11.0,	13.5,	15.5
1.38,	2.89,	4.18,	5.59,	7.60,	9.23,	11.0,	13.4,	15.3
1.38,	2.88,	4.17,	5.57,	7.56,	9.18,	10.9,	13.3,	15.2
1.37,	2.85,	4.12,	5.48,	7.42,	8.98,	10.6,	12.9,	14.7
1.36,	2.84,	4.08,	5.42,	7.31,	8.83,	10.4,	12.6,	14.4
1.36,	2.82,	4.06,	5.38,	7.23,	8.71,	10.3,	12.4,	14.1
1.35,	2.81,	4.03,	5.34,	7.17,	8.63,	10.1,	12.2,	13.9
1.35,	2.79,	4.00,	5.29,	7.08,	8.49,	9.96,	12.0,	13.5
1.35,	2.78,	3.98,	5.25,	7.01,	8.40,	9.84,	11.8,	13.3
1.34,	2.77,	3.96,	5.22,	6.96,	8.33,	9.75,	11.7,	13.2
1.34,	2.76,	3.95,	5.20,	6.93,	8.28,	9.68,	11.6,	13.0
1.34,	2.76,	3.94,	5.18,	6.90,	8.24,	9.62,	11.5,	12.9
1.34,	2.75,	3.92,	5.15,	6.85,	8.18,	9.54,	11.4,	12.8
1.33,	2.74,	3.91,	5.13,	6.82,	8.14,	9.48,	11.3,	12.7
1.33,	2.74,	3.90,	5.12,	6.80,	8.10,	9.44,	11.2,	12.6
1.33,	2.73,	3.89,	5.11,	6.78,	8.08,	9.40,	11.2,	12.6
1.33,	2.73,	3.89,	5.10,	6.76,	8.06,	9.38,	11.2,	12.5
1.33,	2.72,	3.87,	5.07,	6.72,	8.00,	9.30,	11.0,	12.4
1.33,	2.72,	3.86,	5.05,	6.69,	7.95,	9.23,	11.0,	12.3
1.32,	2.71,	3.84,	5.02,	6.64,	7.88,	9.14,	10.8,	12.1
7.50,	49.5,	200.,	800.,	5000.,	20000.,	80000.,	500000.,	2000000.
3.00,	9.00,	19.0,	39.0,	99.0,	199.,	399.,	999.,	2000.
2.28,	5.46,	9.55,	16.0,	30.8,	49.8,	79.9,	149.,	237.
2.00,	4.32,	6.94,	10.6,	18.0,	26.3,	38.0,	61.2,	87.4
1.85,	3.78,	5.79,	8.43,	13.3,	18.3,	25.0,	37.1,	49.8
1.76,	3.46,	5.14,	7.26,	10.9,	14.5,	19.1,	27.0,	34.8
1.70,	3.26,	4.74,	6.54,	9.55,	12.4,	15.9,	21.7,	27.2
1.66,	3.11,	4.46,	6.06,	8.65,	11.0,	13.9,	18.5,	22.7
1.62,	3.01,	4.26,	5.71,	8.02,	10.1,	12.5,	16.4,	19.9
1.60,	2.92,	4.10,	5.46,	7.56,	9.43,	11.6,	14.9,	17.9
1.58,	2.86,	3.98,	5.26,	7.21,	8.91,	10.8,	13.8,	16.4
1.56,	2.81,	3.89,	5.10,	6.93,	8.51,	10.3,	13.0,	15.3
1.55,	2.76,	3.81,	4.97,	6.70,	8.19,	9.84,	12.3,	14.4
1.53,	2.73,	3.74,	4.86,	6.51,	7.92,	9.47,	11.8,	13.7
1.52,	2.70,	3.68,	4.77,	6.36,	7.70,	9.17,	11.3,	13.2
1.51,	2.67,	3.63,	4.69,	6.23,	7.51,	8.92,	11.0,	12.7
1.51,	2.64,	3.59,	4.62,	6.11,	7.35,	8.70,	10.7,	12.3
1.50,	2.62,	3.55,	4.56,	6.01,	7.21,	8.51,	10.4,	11.9
1.49,	2.61,	3.52,	4.51,	5.93,	7.09,	8.35,	10.2,	11.6
1.49,	2.59,	3.49,	4.46,	5.85,	6.99,	8.21,	9.95,	11.4
1.48,	2.57,	3.47,	4.42,	5.78,	6.89,	8.08,	9.77,	11.2
1.48,	2.56,	3.44,	4.38,	5.72,	6.81,	7.96,	9.61,	11.0
1.47,	2.55,	3.42,	4.35,	5.66,	6.73,	7.86,	9.47,	10.8
1.47,	2.54,	3.40,	4.32,	5.61,	6.66,	7.77,	9.34,	10.6
1.47,	2.53,	3.39,	4.29,	5.57,	6.60,	7.69,	9.22,	10.5
1.46,	2.52,	3.37,	4.27,	5.53,	6.54,	7.61,	9.12,	10.3
1.46,	2.51,	3.35,	4.24,	5.49,	6.49,	7.54,	9.02,	10.2
1.46,	2.50,	3.34,	4.22,	5.45,	6.44,	7.48,	8.93,	10.1
1.45,	2.50,	3.33,	4.20,	5.42,	6.40,	7.42,	8.85,	9.99
1.45,	2.49,	3.32,	4.18,	5.39,	6.35,	7.36,	8.77,	9.90
1.44,	2.46,	3.27,	4.11,	5.27,	6.19,	7.14,	8.47,	9.52
1.44,	2.44,	3.23,	4.05,	5.18,	6.07,	6.99,	8.25,	9.25
1.43,	2.42,	3.20,	4.01,	5.11,	5.97,	6.86,	8.09,	9.04
1.43,	2.41,	3.18,	3.97,	5.06,	5.90,	6.77,	7.96,	8.88
1.42,	2.39,	3.15,	3.93,	4.98,	5.79,	6.63,	7.77,	8.65
1.41,	2.38,	3.13,	3.89,	4.92,	5.72,	6.53,	7.64,	8.49
1.41,	2.37,	3.11,	3.86,	4.88,	5.67,	6.46,	7.54,	8.37
1.41,	2.36,	3.10,	3.84,	4.85,	5.62,	6.41,	7.47,	8.28
1.41,	2.36,	3.09,	3.83,	4.82,	5.59,	6.37,	7.41,	8.21
1.40,	2.35,	3.07,	3.80,	4.79,	5.54,	6.30,	7.32,	8.10
1.40,	2.34,	3.06,	3.79,	4.76,	5.50,	6.26,	7.26,	8.03
1.40,	2.34,	3.05,	3.78,	4.74,	5.48,	6.22,	7.21,	7.97
1.40,	2.33,	3.05,	3.77,	4.73,	5.46,	6.20,	7.18,	7.93
1.40,	2.33,	3.04,	3.76,	4.71,	5.44,	6.17,	7.15,	7.90
1.39,	2.32,	3.03,	3.73,	4.68,	5.39,	6.11,	7.07,	7.80
1.39,	2.31,	3.01,	3.72,	4.65,	5.35,	6.06,	7.00,	7.72
1.39,	2.30,	3.00,	3.69,	4.61,	5.30,	5.99,	6.91,	7.60
8.20,	53.6,	216.,	864.,	5400.,	21600.,	86500.,	540000.,	2160000.
3.15,	9.16,	19.2,	39.2,	99.2,	199.,	399.,	999.,	2000.
2.36,	5.39,	9.28,	15.4,	29.5,	47.5,	76.1,	141.,	225.
2.05,	4.19,	6.59,	9.98,	16.7,	24.3,	35.0,	56.2,	80.1
1.88,	3.62,	5.41,	7.76,	12.1,	16.5,	22.4,	33.2,	44.4
1.78,	3.29,	4.76,	6.60,	9.78,	12.9,	16.9,	23.7,	30.5
1.72,	3.07,	4.35,	5.89,	8.45,	10.9,	13.8,	18.8,	23.5
1.67,	2.92,	4.07,	5.42,	7.59,	9.60,	12.0,	15.8,	19.4
1.63,	2.81,	3.86,	5.08,	6.99,	8.72,	10.7,	13.9,	16.8
1.60,	2.73,	3.71,	4.83,	6.55,	8.08,	9.83,	12.6,	15.0
1.58,	2.66,	3.59,	4.63,	6.22,	7.60,	9.17,	11.6,	13.7
1.56,	2.61,	3.49,	4.47,	5.95,	7.23,	8.65,	10.8,	12.7
1.55,	2.56,	3.41,	4.35,	5.74,	6.93,	8.24,	10.2,	11.9
1.53,	2.52,	3.34,	4.24,	5.56,	6.68,	7.91,	9.73,	11.3
1.52,	2.49,	3.29,	4.15,	5.42,	6.48,	7.63,	9.34,	10.8
1.51,	2.46,	3.24,	4.08,	5.29,	6.30,	7.40,	9.01,	10.3
1.50,	2.44,	3.20,	4.01,	5.19,	6.16,	7.21,	8.73,	9.99
1.49,	2.42,	3.16,	3.95,	5.09,	6.03,	7.04,	8.49,	9.69
1.49,	2.40,	3.13,	3.90,	5.01,	5.92,	6.89,	8.28,	9.42
1.48,	2.38,	3.10,	3.86,	4.94,	5.82,	6.76,	8.10,	9.20
1.48,	2.36,	3.07,	3.82,	4.87,	5.73,	6.64,	7.94,	8.99
1.47,	2.35,	3.05,	3.78,	4.82,	5.65,	6.54,	7.80,	8.82
1.47,	2.34,	3.03,	3.75,	4.76,	5.58,	6.45,	7.67,	8.66
1.46,	2.33,	3.01,	3.72,	4.72,	5.52,	6.36,	7.55,	8.51
1.46,	2.32,	2.99,	3.69,	4.68,	5.46,	6.29,	7.45,	8.39
1.45,	2.31,	2.98,	3.67,	4.64,	5.41,	6.22,	7.36,	8.27
1.45,	2.30,	2.96,	3.65,	4.60,	5.36,	6.16,	7.27,	8.16
1.45,	2.29,	2.95,	3.63,	4.57,	5.32,	6.10,	7.19,	8.07
1.45,	2.28,	2.93,	3.61,	4.54,	5.28,	6.05,	7.12,	7.98
1.44,	2.28,	2.92,	3.59,	4.51,	5.24,	6.00,	7.05,	7.89
1.43,	2.25,	2.87,	3.52,	4.40,	5.09,	5.80,	6.79,	7.56
1.42,	2.23,	2.84,	3.46,	4.31,	4.98,	5.66,	6.59,	7.33
1.42,	2.21,	2.81,	3.42,	4.25,	4.89,	5.55,	6.45,	7.15
1.41,	2.20,	2.79,	3.39,	4.20,	4.83,	5.47,	6.34,	7.01
1.41,	2.18,	2.76,	3.34,	4.13,	4.73,	5.34,	6.17,	6.81
1.40,	2.16,	2.74,	3.31,	4.07,	4.66,	5.26,	6.06,	6.67
1.40,	2.15,	2.72,	3.28,	4.04,	4.61,	5.19,	5.97,	6.57
1.39,	2.15,	2.71,	3.26,	4.01,	4.57,	5.14,	5.91,	6.49
1.39,	2.14,	2.70,	3.25,	3.98,	4.54,	5.11,	5.86,	6.43
1.39,	2.13,	2.68,	3.23,	3.95,	4.50,	5.05,	5.78,	6.34
1.38,	2.12,	2.67,	3.21,	3.92,	4.47,	5.01,	5.73,	6.28
1.38,	2.12,	2.66,	3.20,	3.91,	4.44,	4.98,	5.69,	6.23
1.38,	2.11,	2.65,	3.19,	3.89,	4.42,	4.95,	5.66,	6.19
1.38,	2.11,	2.65,	3.18,	3.88,	4.41,	4.94,	5.63,	6.16
1.38,	2.10,	2.63,	3.16,	3.85,	4.36,	4.88,	5.56,	6.08
1.37,	2.09,	2.62,	3.14,	3.82,	4.33,	4.84,	5.51,	6.01
1.37,	2.08,	2.61,	3.12,	3.78,	4.28,	4.77,	5.42,	5.91
8.58,	55.8,	225.,	900.,	5620.,	22500.,	90000.,	562000.,	2250000.
3.23,	9.24,	19.2,	39.2,	99.2,	199.,	399.,	999.,	2000.
2.39,	5.34,	9.12,	15.1,	28.7,	46.2,	73.9,	137.,	218.
2.06,	4.11,	6.39,	9.60,	16.0,	23.2,	33.3,	53.4,	76.1
1.89,	3.52,	5.19,	7.39,	11.4,	15.6,	21.0,	31.1,	41.5
1.79,	3.18,	4.53,	6.23,	9.15,	12.0,	15.7,	21.9,	28.1
1.72,	2.96,	4.12,	5.52,	7.85,	10.1,	12.7,	17.2,	21.4
1.66,	2.81,	3.84,	5.05,	7.01,	8.81,	10.9,	14.4,	17.6
1.63,	2.69,	3.63,	4.72,	6.42,	7.96,	9.74,	12.6,	15.1
1.59,	2.61,	3.48,	4.47,	5.99,	7.34,	8.89,	11.3,	13.4
1.57,	2.54,	3.36,	4.28,	5.67,	6.88,	8.25,	10.3,	12.2
1.55,	2.48,	3.26,	4.12,	5.41,	6.52,	7.76,	9.63,	11.2
1.53,	2.43,	3.18,	4.00,	5.21,	6.23,	7.37,	9.07,	10.5
1.52,	2.39,	3.11,	3.89,	5.04,	6.00,	7.06,	8.62,	9.95
1.51,	2.36,	3.06,	3.80,	4.89,	5.80,	6.80,	8.25,	9.48
1.50,	2.33,	3.01,	3.73,	4.77,	5.64,	6.58,	7.94,	9.08
1.49,	2.31,	2.96,	3.66,	4.67,	5.50,	6.39,	7.68,	8.75
1.48,	2.29,	2.93,	3.61,	4.58,	5.37,	6.23,	7.46,	8.47
1.47,	2.27,	2.90,	3.56,	4.50,	5.27,	6.09,	7.27,	8.23
1.47,	2.25,	2.87,	3.51,	4.43,	5.17,	5.97,	7.10,	8.02
1.46,	2.23,	2.84,	3.48,	4.37,	5.09,	5.86,	6.95,	7.83
1.45,	2.22,	2.82,	3.44,	4.31,	5.02,	5.76,	6.81,	7.67
1.45,	2.21,	2.80,	3.41,	4.26,	4.95,	5.67,	6.70,	7.52
1.44,	2.19,	2.78,	3.38,	4.22,	4.89,	5.60,	6.59,	7.39
1.44,	2.18,	2.76,	3.35,	4.18,	4.84,	5.53,	6.49,	7.27
1.44,	2.17,	2.74,	3.33,	4.14,	4.79,	5.46,	6.41,	7.16
1.43,	2.17,	2.73,	3.31,	4.11,	4.74,	5.40,	6.33,	7.06
1.43,	2.16,	2.71,	3.29,	4.07,	4.70,	5.35,	6.25,	6.97
1.43,	2.15,	2.70,	3.27,	4.04,	4.66,	5.30,	6.19,	6.89
1.42,	2.14,	2.69,	3.25,	4.02,	4.62,	5.25,	6.12,	6.82
1.41,	2.11,	2.64,	3.18,	3.91,	4.48,	5.07,	5.88,	6.51
1.40,	2.09,	2.61,	3.13,	3.83,	4.37,	4.93,	5.70,	6.30
1.40,	2.07,	2.58,	3.09,	3.77,	4.29,	4.83,	5.56,	6.13
1.39,	2.06,	2.56,	3.05,	3.72,	4.23,	4.75,	5.46,	6.01
1.38,	2.04,	2.53,	3.01,	3.65,	4.14,	4.64,	5.31,	5.82
1.38,	2.03,	2.50,	2.97,	3.60,	4.08,	4.56,	5.20,	5.70
1.38,	2.02,	2.49,	2.95,	3.56,	4.03,	4.50,	5.12,	5.60
1.37,	2.01,	2.47,	2.93,	3.53,	3.99,	4.45,	5.06,	5.53
1.37,	2.00,	2.46,	2.92,	3.51,	3.96,	4.42,	5.02,	5.48
1.37,	1.99,	2.45,	2.89,	3.48,	3.92,	4.36,	4.95,	5.39
1.36,	1.99,	2.44,	2.88,	3.46,	3.89,	4.32,	4.90,	5.33
1.36,	1.98,	2.43,	2.87,	3.44,	3.87,	4.30,	4.86,	5.29
1.36,	1.98,	2.42,	2.86,	3.43,	3.85,	4.27,	4.83,	5.26
1.36,	1.97,	2.42,	2.85,	3.41,	3.84,	4.26,	4.81,	5.23
1.35,	1.96,	2.40,	2.83,	3.38,	3.80,	4.21,	4.75,	5.15
1.35,	1.96,	2.39,	2.81,	3.36,	3.76,	4.17,	4.69,	5.09
1.35,	1.94,	2.37,	2.79,	3.32,	3.72,	4.11,	4.62,	5.00
8.82,	57.2,	230.,	922.,	5760.,	23100.,	92200.,	576000.,	2310000.
3.28,	9.29,	19.3,	39.3,	99.3,	199.,	399.,	999.,	2000.
2.41,	5.31,	9.01,	14.9,	28.2,	45.4,	72.6,	135.,	214.
2.07,	4.05,	6.26,	9.36,	15.5,	22.5,	32.3,	51.7,	73.6
1.89,	3.45,	5.05,	7.15,	11.0,	14.9,	20.2,	29.8,	39.7
1.79,	3.11,	4.39,	5.99,	8.75,	11.5,	14.9,	20.8,	26.6
1.71,	2.88,	3.97,	5.29,	7.46,	9.52,	12.0,	16.2,	20.2
1.66,	2.73,	3.69,	4.82,	6.63,	8.30,	10.3,	13.5,	16.4
1.62,	2.61,	3.48,	4.48,	6.06,	7.47,	9.12,	11.7,	14.1
1.59,	2.52,	3.33,	4.24,	5.64,	6.87,	8.29,	10.5,	12.4
1.56,	2.45,	3.20,	4.04,	5.32,	6.42,	7.67,	9.58,	11.2
1.54,	2.39,	3.11,	3.89,	5.06,	6.07,	7.20,	8.89,	10.4
1.52,	2.35,	3.03,	3.77,	4.86,	5.79,	6.82,	8.35,	9.66
1.51,	2.31,	2.96,	3.66,	4.69,	5.56,	6.51,	7.92,	9.11
1.49,	2.27,	2.90,	3.58,	4.56,	5.37,	6.26,	7.57,	8.66
1.48,	2.24,	2.85,	3.50,	4.44,	5.21,	6.05,	7.27,	8.29
1.47,	2.22,	2.81,	3.44,	4.34,	5.07,	5.87,	7.02,	7.98
1.46,	2.20,	2.77,	3.38,	4.25,	4.96,	5.72,	6.81,	7.71
1.46,	2.18,	2.74,	3.33,	4.17,	4.85,	5.58,	6.62,	7.48
1.45,	2.16,	2.71,	3.29,	4.10,	4.76,	5.46,	6.46,	7.27
1.44,	2.14,	2.68,	3.25,	4.04,	4.68,	5.36,	6.32,	7.10
1.44,	2.13,	2.66,	3.22,	3.99,	4.61,	5.26,	6.19,	6.94
1.43,	2.11,	2.64,	3.18,	3.94,	4.54,	5.18,	6.08,	6.80
1.43,	2.10,	2.62,	3.15,	3.90,	4.49,	5.11,	5.98,	6.68
1.42,	2.09,	2.60,	3.13,	3.85,	4.43,	5.04,	5.89,	6.56
1.42,	2.08,	2.59,	3.10,	3.82,	4.38,	4.98,	5.80,	6.46
1.42,	2.07,	2.57,	3.08,	3.78,	4.34,	4.92,	5.73,	6.37
1.41,	2.06,	2.56,	3.06,	3.75,	4.30,	4.87,	5.66,	6.28
1.41,	2.06,	2.55,	3.04,	3.73,	4.26,	4.82,	5.59,	6.21
1.41,	2.05,	2.53,	3.03,	3.70,	4.23,	4.78,	5.53,	6.13
1.40,	2.02,	2.49,	2.96,	3.59,	4.09,	4.60,	5.30,	5.85
1.39,	2.00,	2.45,	2.90,	3.51,	3.99,	4.47,	5.13,	5.64
1.38,	1.98,	2.42,	2.86,	3.45,	3.91,	4.37,	5.00,	5.49
1.37,	1.97,	2.40,	2.83,	3.41,	3.85,	4.30,	4.90,	5.37
1.37,	1.95,	2.37,	2.79,	3.34,	3.76,	4.19,	4.76,	5.20
1.36,	1.93,	2.35,	2.75,	3.29,	3.70,	4.11,	4.66,	5.08
1.36,	1.92,	2.33,	2.73,	3.26,	3.65,	4.05,	4.58,	4.99
1.35,	1.91,	2.32,	2.71,	3.23,	3.62,	4.01,	4.53,	4.92
1.35,	1.91,	2.31,	2.70,	3.21,	3.59,	3.97,	4.48,	4.87
1.35,	1.90,	2.29,	2.67,	3.17,	3.55,	3.92,	4.42,	4.79
1.34,	1.89,	2.28,	2.66,	3.15,	3.52,	3.89,	4.37,	4.74
1.34,	1.88,	2.27,	2.65,	3.13,	3.50,	3.86,	4.33,	4.69
1.34,	1.88,	2.26,	2.64,	3.12,	3.48,	3.84,	4.31,	4.66
1.34,	1.88,	2.26,	2.63,	3.11,	3.47,	3.82,	4.29,	4.64
1.33,	1.87,	2.24,	2.61,	3.08,	3.43,	3.77,	4.22,	4.56
1.33,	1.86,	2.23,	2.59,	3.05,	3.40,	3.73,	4.18,	4.51
1.33,	1.85,	2.21,	2.57,	3.02,	3.35,	3.68,	4.10,	4.42
8.98,	58.2,	234.,	937.,	5860.,	23400.,	93700.,	586000.,	2340000.
3.31,	9.33,	19.3,	39.3,	99.3,	199.,	399.,	999.,	2000.
2.42,	5.28,	8.94,	14.7,	27.9,	44.8,	71.7,	133.,	211.
2.08,	4.01,	6.16,	9.20,	15.2,	22.0,	31.5,	50.5,	71.9
1.89,	3.40,	4.95,	6.98,	10.7,	14.5,	19.6,	28.8,	38.5
1.78,	3.05,	4.28,	5.82,	8.47,	11.1,	14.4,	20.0,	25.6
1.71,	2.83,	3.87,	5.12,	7.19,	9.16,	11.5,	15.5,	19.3
1.65,	2.67,	3.58,	4.65,	6.37,	7.95,	9.83,	12.9,	15.7
1.61,	2.55,	3.37,	4.32,	5.80,	7.13,	8.68,	11.1,	13.3
1.58,	2.46,	3.22,	4.07,	5.39,	6.54,	7.87,	9.93,	11.7
1.55,	2.39,	3.09,	3.88,	5.07,	6.10,	7.27,	9.05,	10.6
1.53,	2.33,	3.00,	3.73,	4.82,	5.76,	6.80,	8.38,	9.74
1.51,	2.28,	2.92,	3.60,	4.62,	5.48,	6.44,	7.86,	9.07
1.50,	2.24,	2.85,	3.50,	4.46,	5.26,	6.14,	7.44,	8.53
1.48,	2.21,	2.79,	3.41,	4.32,	5.07,	5.89,	7.09,	8.10
1.47,	2.18,	2.74,	3.34,	4.20,	4.91,	5.68,	6.80,	7.74
1.46,	2.15,	2.70,	3.28,	4.10,	4.78,	5.51,	6.56,	7.43
1.45,	2.13,	2.66,	3.22,	4.01,	4.66,	5.36,	6.35,	7.18
1.44,	2.11,	2.63,	3.17,	3.94,	4.56,	5.23,	6.18,	6.95
1.44,	2.09,	2.60,	3.13,	3.87,	4.47,	5.11,	6.02,	6.76
1.43,	2.08,	2.57,	3.09,	3.81,	4.39,	5.01,	5.88,	6.59
1.42,	2.06,	2.55,	3.05,	3.76,	4.32,	4.92,	5.76,	6.44
1.42,	2.05,	2.53,	3.02,	3.71,	4.26,	4.84,	5.65,	6.30
1.41,	2.04,	2.51,	2.99,	3.67,	4.20,	4.76,	5.55,	6.18
1.41,	2.02,	2.49,	2.97,	3.63,	4.15,	4.70,	5.46,	6.07
1.41,	2.01,	2.47,	2.94,	3.59,	4.10,	4.64,	5.38,	5.98
1.40,	2.00,	2.46,	2.92,	3.56,	4.06,	4.58,	5.31,	5.89
1.40,	2.00,	2.45,	2.90,	3.53,	4.02,	4.53,	5.24,	5.80
1.40,	1.99,	2.43,	2.88,	3.50,	3.98,	4.48,	5.18,	5.73
1.39,	1.98,	2.42,	2.87,	3.47,	3.95,	4.44,	5.12,	5.66
1.38,	1.95,	2.37,	2.80,	3.37,	3.81,	4.27,	4.89,	5.39
1.37,	1.93,	2.34,	2.74,	3.29,	3.71,	4.14,	4.73,	5.19
1.36,	1.91,	2.31,	2.70,	3.23,	3.64,	4.05,	4.61,	5.04
1.36,	1.90,	2.29,	2.67,	3.19,	3.58,	3.98,	4.51,	4.93
1.35,	1.87,	2.25,	2.63,	3.12,	3.49,	3.87,	4.37,	4.76
1.34,	1.86,	2.23,	2.59,	3.07,	3.43,	3.79,	4.28,	4.64
1.34,	1.85,	2.21,	2.57,	3.04,	3.39,	3.74,	4.20,	4.56
1.33,	1.84,	2.20,	2.55,	3.01,	3.35,	3.70,	4.15,	4.50
1.33,	1.83,	2.19,	2.54,	2.99,	3.33,	3.66,	4.11,	4.45
1.33,	1.82,	2.18,	2.52,	2.96,	3.28,	3.61,	4.04,	4.37
1.32,	1.82,	2.16,	2.50,	2.93,	3.26,	3.58,	4.00,	4.32
1.32,	1.81,	2.16,	2.49,	2.92,	3.24,	3.55,	3.97,	4.28
1.32,	1.81,	2.15,	2.48,	2.90,	3.22,	3.53,	3.94,	4.25
1.32,	1.80,	2.14,	2.47,	2.89,	3.21,	3.52,	3.92,	4.22
1.32,	1.79,	2.13,	2.45,	2.86,	3.17,	3.47,	3.86,	4.15
1.31,	1.79,	2.12,	2.43,	2.84,	3.14,	3.43,	3.81,	4.10
1.31,	1.77,	2.10,	2.41,	2.80,	3.09,	3.37,	3.74,	4.02
